naslov, leto_izida, trajanje, ocena
Cars, 2006, 116, 7.3
Spirited Away, 2001, 124, 8.6
Ratatouille, 2007, 111, 8.1
Finding Nemo, 2003, 100, 8.2
WALL·E, 2008, 98, 8.4
Monsters, Inc., 2001, 92, 8.1
The Incredibles, 2004, 115, 8.0
Shrek, 2001, 90, 7.9
Up, 2009, 96, 8.3
Lilo &amp; Stitch, 2002, 85, 7.4
Kung Fu Panda, 2008, 92, 7.6
Howl's Moving Castle, 2004, 119, 8.2
Madagascar, 2005, 86, 7.0
Shrek 2, 2004, 93, 7.4
Coraline, 2009, 100, 7.8
Ice Age, 2002, 81, 7.5
Fantastic Mr. Fox, 2009, 87, 7.9
The Emperor's New Groove, 2000, 78, 7.4
Bee Movie, 2007, 91, 6.1
The Princess and the Frog, 2009, 97, 7.2
Enchanted, 2007, 107, 7.1
Atlantis: The Lost Empire, 2001, 95, 6.9
Treasure Planet, 2002, 95, 7.2
Paprika, 2006, 90, 7.7
Shrek the Third, 2007, 93, 6.1
Ponyo, 2008, 101, 7.6
Shark Tale, 2004, 90, 6.0
Cloudy with a Chance of Meatballs, 2009, 90, 6.9
Robots, 2005, 91, 6.4
9, 2009, 79, 7.0
Corpse Bride, 2005, 77, 7.4
Monster House, 2006, 91, 6.7
Meet the Robinsons, 2007, 95, 6.8
Over the Hedge, 2006, 83, 6.7
Redline, 2009, 102, 7.5
The Road to El Dorado, 2000, 89, 6.9
Surf's Up, 2007, 85, 6.7
Ice Age: Dawn of the Dinosaurs, 2009, 94, 6.9
Madagascar: Escape 2 Africa, 2008, 89, 6.7
Chicken Run, 2000, 84, 7.1
Mary and Max, 2009, 92, 8.1
Help! I'm a Fish, 2000, 80, 6.1
Spirit: Stallion of the Cimarron, 2002, 83, 7.2
Bolt, 2008, 96, 6.8
Vampire Hunter D: Bloodlust, 2000, 103, 7.7
Monsters vs. Aliens, 2009, 94, 6.4
Persepolis, 2007, 96, 8.0
The Polar Express, 2004, 100, 6.6
Ice Age The Meltdown, 2006, 91, 6.8
A Scanner Darkly, 2006, 100, 7.0
Happy Feet, 2006, 108, 6.4
Open Season, 2006, 86, 6.1
Horton Hears a Who!, 2008, 86, 6.8
Titan A.E., 2000, 94, 6.6
Chicken Little, 2005, 81, 5.7
The Cat Returns, 2002, 75, 7.1
Beowulf, 2007, 115, 6.3
Flushed Away, 2006, 85, 6.6
The Triplets of Belleville, 2003, 80, 7.7
Brother Bear, 2003, 85, 6.9
Barnyard, 2006, 90, 5.7
The SpongeBob SquarePants Movie, 2004, 87, 7.2
Hoodwinked!, 2005, 80, 6.5
Millennium Actress, 2001, 87, 7.8
Alvin and the Chipmunks, 2007, 92, 5.3
The Simpsons Movie, 2007, 87, 7.3
Tokyo Godfathers, 2003, 88, 7.8
Cowboy Bebop: The Movie, 2001, 115, 7.8
Dinosaur, 2000, 82, 6.4
TMNT, 2007, 87, 6.2
The Curse of the Were-Rabbit, 2005, 85, 7.5
The Secret of Kells, 2009, 71, 7.5
Tales from Earthsea, 2006, 115, 6.3
Waking Life, 2001, 99, 7.6
Star Wars: The Clone Wars, 2008, 98, 6.0
5 Centimeters per Second, 2007, 63, 7.4
Ghost in the Shell Innocence, 2004, 100, 7.4
Final Fantasy: The Spirits Within, 2001, 106, 6.4
A Christmas Carol, 2009, 96, 6.8
G-Force, 2009, 88, 5.1
Tekkonkinkreet, 2006, 111, 7.5
Alvin and the Chipmunks: The Squeakquel, 2009, 88, 4.6
Mind Game, 2004, 103, 7.7
Osmosis Jones, 2001, 95, 6.3
The Girl Who Leapt Through Time, 2006, 98, 7.6
Sword of the Stranger, 2007, 103, 7.7
Doraemon the Movie: Nobita's New Great Adventure Into the Underworld - The Seven Magic Users, 2007, 112, 7.2
Sinbad: Legend of the Seven Seas, 2003, 88, 6.8
Arthur and the Invisibles, 2006, 94, 6.0
Astro Boy, 2009, 94, 6.3
Doraemon the Movie: Nobita's Dinosaur, 2006, 107, 7.2
Planet 51, 2009, 91, 6.0
Summer Wars, 2009, 114, 7.4
Steamboy, 2004, 126, 6.8
Curious George, 2006, 87, 6.5
Evangelion: 1.0 You Are (Not) Alone, 2007, 98, 7.5
The Ant Bully, 2006, 88, 5.8
Waltz with Bashir, 2008, 90, 8.0
Jimmy Neutron: Boy Genius, 2001, 82, 6.1
Doraemon: Nobita and the Wind Wizard, 2003, 84, 7.0
Metropolis, 2001, 108, 7.2
Delgo, 2008, 89, 4.2
Valiant, 2005, 76, 5.5
The Tale of Despereaux, 2008, 93, 6.1
Aachi &amp; Ssipak, 2005, 90, 6.7
Kureyon Shin-chan: Densetsu o yobu odore! Amîgo!, 2006, 90, 6.1
Home on the Range, 2004, 76, 5.4
Looney Tunes: Back in Action, 2003, 93, 5.8
Doraemon: Nobita and the Green Giant Legend, 2008, 112, 6.7
One Piece: The Movie, 2000, 51, 6.8
Heavy Metal 2000, 2000, 88, 5.4
Pokémon: The Rise of Darkrai, 2007, 95, 6.4
Dead Leaves, 2004, 55, 7.1
Evangelion: 2.0 You Can (Not) Advance, 2009, 108, 7.9
