naslov, leto_izida, trajanje, ocena
The Lord of the Rings: The Fellowship of the Ring, 2001, 178, 8.9
The Prestige, 2006, 130, 8.5
Inglourious Basterds, 2009, 153, 8.4
No Country for Old Men, 2007, 122, 8.2
Gladiator, 2000, 155, 8.5
The Departed, 2006, 151, 8.5
Kingdom of Heaven, 2005, 144, 7.3
City of God, 2002, 130, 8.6
The Notebook, 2004, 123, 7.8
Oldboy, 2003, 2, 8.3
The Lord of the Rings: The Return of the King, 2003, 201, 9.0
The Devil Wears Prada, 2006, 109, 7.0
Requiem for a Dream, 2000, 102, 8.3
Irreversible, 2002, 97, 7.3
Malena, 2000, 108, 7.4
Zodiac, 2007, 157, 7.7
Twilight, 2008, 122, 5.4
A History of Violence, 2005, 96, 7.4
Pride &amp; Prejudice, 2005, 129, 7.8
Catch Me If You Can, 2002, 141, 8.1
Bully, 2001, 108, 6.9
Eternal Sunshine of the Spotless Mind, 2004, 108, 8.3
Watchmen, 2009, 162, 7.6
He's Just Not That Into You, 2009, 129, 6.4
Mulholland Drive, 2001, 147, 7.9
The Lord of the Rings: The Two Towers, 2002, 179, 8.8
Donnie Darko, 2001, 113, 8.0
There Will Be Blood, 2007, 158, 8.2
Bandits, 2001, 123, 6.5
Memories of Murder, 2003, 131, 8.1
The Girl Next Door, 2004, 109, 6.7
American Psycho, 2000, 102, 7.6
A Beautiful Mind, 2001, 135, 8.2
Little Miss Sunshine, 2006, 101, 7.8
Finding Forrester, 2000, 136, 7.3
Apocalypto, 2006, 139, 7.9
The Pianist, 2002, 150, 8.5
Days Later ..., 2002, 113, 7.5
Children of Men, 2006, 109, 7.9
Lilya 4-Ever, 2002, 109, 7.8
Up, 2009, 96, 8.3
Atonement, 2007, 123, 7.8
The Patriot, 2000, 165, 7.2
The Dreamers, 2003, 115, 7.1
The Lives of Others, 2006, 137, 8.4
Mystic River, 2003, 138, 7.9
Days of Summer, 2009, 95, 7.6
Coyote Ugly, 2000, 100, 5.8
Collateral, 2004, 2, 7.5
Brokeback Mountain, 2005, 134, 7.7
300, 2006, 117, 7.6
American Gangster, 2007, 157, 7.8
A Knight's Tale, 2001, 132, 7.0
The Proposal, 2009, 108, 6.8
Pan's Labyrinth, 2006, 118, 8.2
Erin Brockovich, 2000, 131, 7.5
The Pursuit of Happyness, 2006, 117, 8.0
A.I. Artificial Intelligence, 2001, 146, 7.2
3 Idiots, 2009, 170, 8.4
The Fall, 2006, 117, 7.8
Lilo &amp; Stitch, 2002, 85, 7.4
Stay, 2005, 99, 6.7
Love Actually, 2003, 135, 7.5
Moulin Rouge!, 2001, 127, 7.5
Brothers, 2009, 105, 7.1
Into the Wild, 2007, 148, 8.0
Black Hawk Down, 2001, 144, 7.7
Law Abiding Citizen, 2009, 109, 7.4
The Room, 2003, 99, 3.6
Unfaithful, 2002, 124, 6.7
Man on Fire, 2004, 146, 7.7
Almost Famous, 2000, 122, 7.9
Cast Away, 2000, 143, 7.8
The Butterfly Effect, 2004, 113, 7.6
Downfall, 2004, 156, 8.2
The Curious Case of Benjamin Button, 2008, 166, 7.8
Inside Man, 2006, 129, 7.6
Master and Commander: The Far Side of the World, 2003, 138, 7.5
V for Vendetta, 2005, 132, 8.1
The Count of Monte Cristo, 2002, 131, 7.7
Insomnia, 2002, 118, 7.2
Training Day, 2001, 122, 7.8
Shooter, 2007, 124, 7.2
O Brother, Where Art Thou?, 2000, 107, 7.7
The Piano Teacher, 2001, 131, 7.5
Coraline, 2009, 100, 7.8
The Aviator, 2004, 170, 7.5
Lost in Translation, 2003, 102, 7.7
The Machinist, 2004, 101, 7.6
I Am Legend, 2007, 101, 7.2
Million Dollar Baby, 2004, 132, 8.1
First Dates, 2004, 99, 6.8
Y tu mamá también, 2001, 106, 7.7
The Last Samurai, 2003, 154, 7.8
