naslov, leto_izida, trajanje, ocena
The Princess Bride, 1987, 98, 8.0
The Goonies, 1985, 114, 7.7
E.T. the Extra-Terrestrial, 1982, 115, 7.9
Labyrinth, 1986, 101, 7.3
The Karate Kid, 1984, 126, 7.3
My Neighbour Totoro, 1988, 86, 8.1
Field of Dreams, 1989, 107, 7.5
The NeverEnding Story, 1984, 102, 7.3
Who Framed Roger Rabbit, 1988, 104, 7.7
Honey, I Shrunk the Kids, 1989, 93, 6.4
The Little Mermaid, 1989, 83, 7.6
Kiki's Delivery Service, 1989, 103, 7.8
The Land Before Time, 1988, 69, 7.4
Laputa: Castle in the Sky, 1986, 124, 8.0
Annie, 1982, 126, 6.6
Return to Oz, 1985, 113, 6.7
Short Circuit, 1986, 98, 6.6
Flight of the Navigator, 1986, 90, 6.9
Where Is the Friend's House?, 1987, 83, 8.1
The Karate Kid Part II, 1986, 113, 6.2
The Fox and the Hound, 1981, 83, 7.2
The Dark Crystal, 1982, 93, 7.1
Explorers, 1985, 109, 6.4
The Brave Little Toaster, 1987, 90, 7.2
*batteries not included, 1987, 107, 6.6
All Dogs Go to Heaven, 1989, 84, 6.8
The Secret of NIMH, 1982, 82, 7.5
The Black Cauldron, 1985, 80, 6.3
A Christmas Story, 1983, 93, 7.9
Doraemon: Nobita and the Steel Troops, 1986, 97, 7.8
The Karate Kid Part III, 1989, 112, 5.4
Three Men and a Baby, 1987, 102, 6.1
The Last Unicorn, 1982, 92, 7.3
An American Tail, 1986, 80, 6.9
Oliver &amp; Company, 1988, 74, 6.6
Pee-wee's Big Adventure, 1985, 91, 7.1
The Great Mouse Detective, 1986, 74, 7.1
The Peanut Butter Solution, 1985, 93, 5.9
D.A.R.Y.L., 1985, 99, 6.3
Popeye, 1980, 97, 5.4
Harry and the Hendersons, 1987, 110, 6.1
The Watcher in the Woods, 1980, 84, 6.2
Doraemon: Nobita's Dinosaur, 1980, 92, 7.4
The Ballad of Narayama, 1983, 130, 7.8
The Transformers: The Movie, 1986, 84, 7.2
The Secret of the Sword, 1985, 88, 7.2
The Great Muppet Caper, 1981, 97, 7.1
The Adventures of Milo and Otis, 1986, 90, 6.9
Doraemon: Nobita and the Haunts of Evil, 1982, 91, 6.8
Short Circuit 2, 1988, 110, 5.8
Mac and Me, 1988, 99, 3.4
The Bear, 1988, 96, 7.7
Cloak &amp; Dagger, 1984, 101, 6.6
The Muppets Take Manhattan, 1984, 94, 6.9
Nobita no uchû shô-sensô, 1985, 98, 7.3
The Journey of Natty Gann, 1985, 101, 7.0
Little Nemo, 1989, 85, 7.1
The Wizard, 1989, 96, 6.1
Alice, 1988, 86, 7.4
Follow That Bird, 1985, 88, 6.8
The Legend of Frog Dreaming, 1986, 93, 6.1
Herbie Goes Bananas, 1980, 100, 4.9
Cat City, 1986, 96, 8.3
The Adventures of Mark Twain, 1985, 86, 7.2
Felix the Cat: The Movie, 1988, 82, 4.7
Little Monsters, 1989, 100, 6.1
Doraemon: Nobita no Uchû kaitakushi, 1981, 90, 6.7
The Garbage Pail Kids Movie, 1987, 97, 2.7
Silsila, 1981, 182, 7.1
Savannah Smiles, 1982, 105, 7.2
Doraemon: Nobita's Version of Saiyuki, 1988, 90, 6.9
The Chipmunk Adventure, 1987, 78, 7.2
Doraemon: Nobita and the Knights on Dinosaurs, 1987, 90, 6.7
SpaceCamp, 1986, 107, 5.8
The BFG, 1989, 91, 6.7
Ernest Goes to Camp, 1987, 92, 5.5
Masoom, 1983, 165, 8.3
Momo, 1986, 101, 6.5
The Story of Hachikō, 1987, 107, 7.9
The Party 2, 1982, 109, 6.3
Night on the Galactic Railroad, 1985, 113, 7.0
GoBots: Battle of the Rock Lords, 1986, 75, 5.5
My Bodyguard, 1980, 96, 7.1
BMX Bandits, 1983, 88, 5.5
Doraemon: Nobita no makai dai bôken, 1984, 97, 7.0
The New Adventures of Pippi Longstocking, 1988, 104, 5.9
Doraemon: Nobita and the Castle of the Undersea Devil, 1983, 94, 6.9
Billa Ranga, 1982, 113, 7.4
Santa Claus, 1985, 107, 6.3
Condorman, 1981, 90, 5.7
Mio in the Land of Faraway, 1987, 99, 6.3
Mr. India, 1987, 179, 7.7
Ronia: The Robber's Daughter, 1984, 126, 7.3
En sommerforelskelse, 1989, 47, 5.5
