naslov, leto_izida, trajanje, ocena
Practical Magic, 1998, 104, 6.4
Titanic, 1997, 194, 8.0
Forrest Gump, 1994, 142, 8.8
Good Will Hunting, 1997, 126, 8.4
True Romance, 1993, 119, 7.9
Sense and Sensibility, 1995, 136, 7.7
She's All That, 1999, 95, 6.0
Things I Hate About You, 1999, 97, 7.4
Life Is Beautiful, 1997, 116, 8.6
Father of the Bride, 1991, 105, 6.6
Lolita, 1997, 137, 6.8
Before Sunrise, 1995, 101, 8.1
Jerry Maguire, 1996, 139, 7.3
Pretty Woman, 1990, 119, 7.1
There's Something About Mary, 1998, 119, 7.1
Basic Instinct, 1992, 127, 7.1
Clueless, 1995, 97, 6.9
The Last of the Mohicans, 1992, 112, 7.6
Hercules, 1997, 93, 7.3
Notting Hill, 1999, 124, 7.2
The Parent Trap, 1998, 128, 6.7
Cruel Intentions, 1999, 97, 6.8
The Quick and the Dead, 1995, 108, 6.5
Romeo + Juliet, 1996, 2, 6.7
The Wedding Singer, 1998, 97, 6.9
But I'm a Cheerleader, 1999, 92, 6.9
Phenomenon, 1996, 123, 6.5
Four Weddings and a Funeral, 1994, 117, 7.1
Robin Hood: Prince of Thieves, 1991, 143, 6.9
Meet Joe Black, 1998, 178, 7.2
Dracula, 1992, 128, 7.4
The English Patient, 1996, 162, 7.4
My Best Friend's Wedding, 1997, 105, 6.4
Groundhog Day, 1993, 101, 8.0
Aladdin, 1992, 90, 8.0
Ghost, 1990, 126, 7.1
The Virgin Suicides, 1999, 97, 7.2
The Little Rascals, 1994, 82, 6.4
Beauty and the Beast, 1991, 84, 8.0
My Girl, 1991, 102, 6.9
Legends of the Fall, 1994, 133, 7.5
You've Got Mail, 1998, 119, 6.7
Natural Born Killers, 1994, 119, 7.2
Chungking Express, 1994, 102, 7.9
Sleepless in Seattle, 1993, 105, 6.8
Robin Hood: Men in Tights, 1993, 104, 6.7
All Things Fair, 1995, 130, 6.8
Edward Scissorhands, 1990, 105, 7.8
Empire Records, 1995, 90, 6.7
Leaving Las Vegas, 1995, 111, 7.5
Runaway Bride, 1999, 116, 5.6
As Good as It Gets, 1997, 139, 7.7
Anastasia, 1997, 94, 7.2
The Cider House Rules, 1999, 126, 7.4
The Hunchback of Notre Dame, 1996, 91, 7.0
What Dreams May Come, 1998, 113, 7.0
Now and Then, 1995, 102, 6.8
The Mask of Zorro, 1998, 136, 6.8
Romance, 1999, 84, 5.2
Hackers, 1995, 105, 6.2
Pocahontas, 1995, 81, 6.7
It Takes Two, 1995, 101, 6.0
Indecent Proposal, 1993, 117, 6.1
The Remains of the Day, 1993, 134, 7.8
The Bodyguard, 1992, 129, 6.4
Mallrats, 1995, 94, 7.0
Father of the Bride Part II, 1995, 106, 6.1
The Age of Innocence, 1993, 139, 7.2
Patch Adams, 1998, 115, 6.9
Grosse Pointe Blank, 1997, 107, 7.3
The Piano, 1993, 121, 7.5
Can't Hardly Wait, 1998, 100, 6.5
The Bridges of Madison County, 1995, 135, 7.6
Fallen Angels, 1995, 99, 7.5
Shakespeare in Love, 1998, 123, 7.1
City of Angels, 1998, 114, 6.7
The Three Musketeers, 1993, 105, 6.4
While You Were Sleeping, 1995, 103, 6.8
Dick Tracy, 1990, 105, 6.2
Three Colors: Blue, 1993, 98, 7.8
Buffalo '66, 1998, 110, 7.4
The Lover, 1992, 115, 6.8
Bitter Moon, 1992, 139, 7.2
The Frighteners, 1996, 110, 7.1
The Crying Game, 1992, 112, 7.2
Whisper of the Heart, 1995, 111, 7.8
Out of Sight, 1998, 123, 7.0
Bicentennial Man, 1999, 132, 6.9
Total Eclipse, 1995, 111, 6.4
Sliding Doors, 1998, 99, 6.7
The Thomas Crown Affair, 1999, 113, 6.9
Frankie and Johnny, 1991, 118, 6.8
Drop Dead Gorgeous, 1999, 97, 6.7
State of Grace, 1990, 134, 7.1
Only You, 1994, 109, 6.5
